Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman All Time Favourites,52,5.68,False,https://open.spotify.com/track/7aYW9bfmULF9q2hwe2HtpU
Tere Bina,Guru (Original Motion Picture Soundtrack),75,5.16,False,https://open.spotify.com/track/4FeczSomVWVyU4FW7xDeAI
"Tum Tak (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),73,5.07,False,https://open.spotify.com/track/1wnozUBSe7OMpmZiTPJC5j
"Jaane Tu (From ""Chhaava"")",Chhaava (Original Motion Picture Soundtrack),64,4.75,False,https://open.spotify.com/track/6fkXfRbjbB7TnIoYK6LmZo
Kun Faya Kun,Rockstar,73,7.84,False,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
"Raanjhanaa (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),72,4.24,False,https://open.spotify.com/track/5OMUXgfXsSukZ0zxelpC3b
"Rait Zara Si (From ""Atrangi Re"")","Rait Zara Si (From ""Atrangi Re"")",71,4.86,False,https://open.spotify.com/track/4uK0M8AI6gyFmyzUneQpbi
Maahi Ve,Highway,71,4.01,False,https://open.spotify.com/track/1sbW5E7w8tnqpYk0Frx8QG
"Yennai Izhukkuthadi (From ""Kadhalikka Neramillai"")","Yennai Izhukkuthadi (From ""Kadhalikka Neramillai"")",71,3.81,False,https://open.spotify.com/track/7qw72jXJNBeqIMsqzvBft5
"Kabhi Kabhi Aditi (From ""Jaane Tu... Ya Jaane Na"")",A.R. Rahman All Time Favourites,47,3.65,False,https://open.spotify.com/track/0IBb4UQMbRfoVdHJpmrRn4
