Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
"Mast Magan (From ""2 States"")",Groove With Arijit Singh,71,4.67,False,https://open.spotify.com/track/4wIWWEhbdgKAxhR68eE0Ye
Tere Bina,Guru (Original Motion Picture Soundtrack),75,5.16,False,https://open.spotify.com/track/4FeczSomVWVyU4FW7xDeAI
Main Rang Sharbaton Ka,Best of Romance: Atif Aslam & Pritam,70,4.39,False,https://open.spotify.com/track/2IEhtVeM9TVql8fZdKdlo9
Zehnaseeb,Hasee Toh Phasee (Original Motion Picture Soundtrack),69,3.62,False,https://open.spotify.com/track/3xF15SqY32Mno3UUMBirhU
"Odiyamma (From ""Hi Nanna"") [TELUGU]","Odiyamma (From ""Hi Nanna"") [TELUGU]",68,3.25,False,https://open.spotify.com/track/1g9V1QE7vbeAx5Xm04DfLi
Sooiyan,Guddu Rangeela,68,4.02,False,https://open.spotify.com/track/6OTfUkn4BwQtSnWvwO9vyR
Vaarayo Vaarayo,Aadhavan (Original Motion Picture Soundtrack),67,5.28,False,https://open.spotify.com/track/13wIQbwSuQ4YFvDvtQgSVc
Titli,Chennai Express,67,5.84,False,https://open.spotify.com/track/0joXv5niso2T8YXWOlIe1X
Rooba Rooba,Orange,63,5.24,False,https://open.spotify.com/track/1rJmySqUrHQP0O4l1JX8E9
Aaruyire,Guru (Original Motion Picture Soundtrack),64,5.15,False,https://open.spotify.com/track/3RVKJOoIVKXicFvNO7b2iK
