Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",Nilavuku En Mel Ennadi Kobam (Original Motion Picture Soundtrack),37,3.84,False,https://open.spotify.com/track/5GENwU66wYztXVqEOLubyF
Hey Minnale,Amaran (Tamil),61,3.83,False,https://open.spotify.com/track/0n6NBNUZQmH1KGRt5J9Nkq
"Hey Rangule (From ""Amaran"") (Telugu)","Hey Rangule (From ""Amaran"") (Telugu)",72,3.83,False,https://open.spotify.com/track/7peNClR7CbF9bDYCmOiy4L
Pirai Thedum,Mayakkam Enna,72,5.55,False,https://open.spotify.com/track/4Dd5XLOdAAmURIZSLThPvH
"Yedi (From ""Nilavuku En Mel Ennadi Kobam"")",Nilavuku En Mel Ennadi Kobam (Original Motion Picture Soundtrack),38,3.36,False,https://open.spotify.com/track/5QWuignQQWDlbtQsjKX0Kq
Vennilavu Saaral,Amaran (Tamil),66,3.56,False,https://open.spotify.com/track/79Aa3LFIeZpMWTXs8y3Qgk
Uyirey,Amaran (Tamil),65,3.5,False,https://open.spotify.com/track/2PKjUxmdIhPjKS1wwEVqHp
Ayyayo,Aadukalam (Original Motion Picture Soundtrack),69,5.41,False,https://open.spotify.com/track/5DYfTyqUNBmOnQtljQjYk2
Pookkal Pookkum,Madharasapattinam (Original Motion Picture Soundtrack),68,6.61,False,https://open.spotify.com/track/7hMKAmUlUUYa5qEiHWK4bk
"Mastaaru Mastaaru (From ""Sir"")(Telugu)","Mastaaru Mastaaru (From ""Sir"")(Telugu)",68,3.76,False,https://open.spotify.com/track/59eeV0SIeyd431uyjAWCRe
