Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
Kaattumalli,Viduthalai (Original Motion Picture Soundtrack),64,5.11,False,https://open.spotify.com/track/5HgXSvl2YoBtEY623UsACk
Raja Raja Chozhan,Rettai Vaal Kuruvi (Original Motion Picture Soundtrack),56,4.58,False,https://open.spotify.com/track/2Hdoffi3Ynk12njFM3OT2T
Nilaave Vaa,Mouna Ragam (Original Motion Picture Soundtrack),47,4.62,False,https://open.spotify.com/track/41GhcM0NzdK4FamqXfALcD
"Thendral Vandhu Theendumbothu (From ""Avathaaram"")",Love Songs of Ilaiyaraja & A. R. Rahman,61,5.35,False,https://open.spotify.com/track/7feks4R1MooMlBniY4TtdS
Ennai Thottu,Unna Ninachen Paatu Padichen (Original Motion Picture Soundtrack),61,5.02,False,https://open.spotify.com/track/6rHDMFYZMwHeQZ6084qFHq
"Valaiyosai (From ""Sathya"")","Rain Songs of Ilaiyaraaja, Vol. 01",42,4.58,False,https://open.spotify.com/track/6pi9Tu1xgdn4NkRqv0gC8s
"Unna Nenachu (From ""Psycho (Tamil)"")","Unna Nenachu [From ""Psycho (Tamil)""]",58,4.59,False,https://open.spotify.com/track/5KW8kOHmXqkDEdj6JyP3dJ
Mandram Vandha,Mouna Ragam (Original Motion Picture Soundtrack),47,4.79,False,https://open.spotify.com/track/5hyC4dhwUXIiTgc56N7f6L
"Kalyaana Maalai - Version, 1",Pudhu Pudhu Arthangal (Original Motion Picture Soundtrack),47,4.64,False,https://open.spotify.com/track/0DEn2F37rJu2CwpkHf1MNM
Nila Adhu Vanathumele,Nayagan (Original Motion Picture Soundtrack),60,5.02,False,https://open.spotify.com/track/2HRDR52ijh8GjiBr1MD1A2
