Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
Gongoora Thota,Tollywood Rewind 2000,37,4.85,False,https://open.spotify.com/track/5n7lw2SK5pyhcVilNNvFQc
Yeh Haseen Vadiyan Yeh Khula Aasman,Roja (Original Motion Picture Soundtrack),64,5.33,False,https://open.spotify.com/track/6NmGIj2leVHRKkHEGyechJ
Gudilo Badilo Madilo,DJ,62,4.41,False,https://open.spotify.com/track/7ILXon2PBU1bGYemfNg91q
Saathiya Tune Kya Kiya,Love (Original Motion Picture Soundtrack),62,5.17,False,https://open.spotify.com/track/3YFXNTmbJjQ1b5MDDZ7E0h
"Ale Ale - Language: Tamil; From ""Boys""","Love: Valentine's Special, Vol. 1",27,6.43,False,https://open.spotify.com/track/1fKWRxiAOIbi7UQXIen4vT
Theerame,Malik (Original Motion Picture Soundtrack),61,4.38,False,https://open.spotify.com/track/4mjS1p9StkylrZPj6LIkjg
Konji Pesida Venaam,Sethupathi (Original Motion Picture Soundtrack),61,3.78,False,https://open.spotify.com/track/5QoCBy9eUHYkeWpEpzAud9
"Uyirin Uyire (From ""Kaakha Kaakha"")",Star Hits of Vijay & Surya,35,5.36,False,https://open.spotify.com/track/6AnUvsDTCXxzhJaKdUJfUA
"Kannalanae (From ""Bombay"")",Evergreen Solo Songs of K.S.Chithra,58,5.87,False,https://open.spotify.com/track/6kfj0zSrTmvosGeiFR2cyB
"Ariyathe Ariyathe (From ""Ariyathe Ariyathe Duet"")",Latest Hits of P. Jayachandran,53,5.55,False,https://open.spotify.com/track/1jbKiQctbG9KbvyQstjwKG
