Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
Ayyayo,Aadukalam (Original Motion Picture Soundtrack),69,5.41,False,https://open.spotify.com/track/5DYfTyqUNBmOnQtljQjYk2
"Dekha Hai Pehli Baar (From ""Saajan"")",My Best Collection - Alka Yagnik,60,6.22,False,https://open.spotify.com/track/1Dww8WMEA5C9jp01ILGzzW
Gongoora Thota,Tollywood Rewind 2000,37,4.85,False,https://open.spotify.com/track/5n7lw2SK5pyhcVilNNvFQc
Yeh Haseen Vadiyan Yeh Khula Aasman,Roja (Original Motion Picture Soundtrack),64,5.33,False,https://open.spotify.com/track/6NmGIj2leVHRKkHEGyechJ
Yamma Yamma,7 Aum Arivu (Original Motion Picture Soundtrack),63,6.11,False,https://open.spotify.com/track/1dmTEETgoWQVeNZb1g8dZc
O Podu 2,Gemini,39,4.04,False,https://open.spotify.com/track/0aDOdKCLx15SYKAtImPdCZ
"Marana Mass - From ""Petta""",Petta (Original Motion Picture Soundtrack),62,3.6,False,https://open.spotify.com/track/7j7fS14vlwVk0Pfnr0hovC
Mere Rang Mein Rangne Wali,Maine Pyar Kiya,63,6.88,False,https://open.spotify.com/track/3Ml6yp86hwJG0UKTyZ8Loa
Pehla Pehla Pyar,Hum Aapke Hain Koun,62,4.41,False,https://open.spotify.com/track/7scJ5s4S8oMGVm6wZzCz1r
"Azhakooril (From ""Thirumalai"")",S.P.Balasubramaniyam Hits,53,4.55,False,https://open.spotify.com/track/3yU77f8CS1rcZE4gqxQCKO
