Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Rocky Aur Rani Kii Prem Kahaani,69,4.62,False,https://open.spotify.com/track/1kDZSmw3mKQeAjcmPTLS3M
Jeene Laga Hoon,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),76,3.95,False,https://open.spotify.com/track/3t3wsY5IdLVzB9WidegJSU
Saibo,Shor in the City (Original Motion Picture Soundtrack [Deluxe Edition]),70,3.26,False,https://open.spotify.com/track/5pPyvA03RKSJrAnnDcq0nh
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Rocky Aur Rani Kii Prem Kahaani,70,4.12,False,https://open.spotify.com/track/6y5SuF4NxGkvwpAdqcAkD3
O Rangrez,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),74,6.42,False,https://open.spotify.com/track/5JCDVLwteSXuwVqjCa7SwH
Pal,Jalebi (Original Motion Picture Soundtrack),67,4.12,False,https://open.spotify.com/track/79hQvdTHNBkq2fp2ZrM8b2
Samjhawan,Samjhawan,69,4.49,False,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
Piya O Re Piya,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),73,4.88,False,https://open.spotify.com/track/5a11x5PUFvJEadMRqtNtTr
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",72,4.34,False,https://open.spotify.com/track/2gKNWPBrI2IRBl2RRUtoEb
Zihaal e Miskin,Zihaal e Miskin,72,4.07,False,https://open.spotify.com/track/51DEaelXeJJ6cFFYbX8Hal
